operator,campus,state,lat,lon,announced_year,construction_start,first_operation,status,era,source,verified,legacy_first_year,note,announced_source,construction_source,operation_source,siting_rationale,ownership_model,capacity_mw,capacity_basis,capacity_asof,capacity_source
Meta,"Altoona, IA",IA,41.65,-93.46,2013,2013,2014,operating,2,,yes,2014,"[RESEARCHED: 140 MW = Wellsburg wind PPA; demand confidential] opened as Facebook; CAPACITY: No stated load MW; '140 MW contracted' (DCF 2017) matches the Wellsburg wind PPA — supply, excluded",Facebook newsroom 2013-04-23 ('A New Data Center for Iowa'),Meta Altoona info sheet (datacenters.atmeta.com),Facebook newsroom Nov 2014 ('Altoona Data Center is Now Online'),Iowa's 'abundance of wind-generated power' and 'a great talent pool that will help build and operate the facility' -- Facebook newsroom 2013-04-23,owner_operated,,,,
Microsoft,"West Des Moines, IA",IA,41.57,-93.71,2008,2011,2012,operating,2,,yes,2014,"Project postponed Jan 2009 before construction, resumed Dec 2010; start could be Dec 2010 vs Jan 2011. baxtel 'built 2021' refers to a later building; CAPACITY: Weak provenance; estimate for the 5-campus WDM complex; no MidAmerican per-customer filing public","HPCwire 2008-08-21 ('Microsoft Unveils West Des Moines Plans', $500M)",Data Center Knowledge 2011-01-10 (approval Dec 2010; 'dirt is moving'),WPR retrospective (first West Des Moines campus opened 2012),"'Availability of land, skilled workforce, large fiber optic network and the state's reliable and renewable energy resources' (Microsoft, via WPR); DMACC and Iowa State cited as site-selection benefits (DCK 2011-01-10); ~$8M city infrastructure + $3.4M state grant",owner_operated,200,facility_load,2025,"Gridlas 'Iowa Data Center Power Demand' (~200 MW for Microsoft WDM, citing MidAmerican reporting + EIA) — third-party aggregation"
AWS,"Columbus region, OH",OH,40.00,-83.00,2015,2015,2016,operating,2,,yes,2016,"us-east-2; Construction-start sourcing thin (secondary citing Columbus Dispatch); region launch tied campus-level by City of Dublin; CAPACITY: AEP Ohio per-customer MW redacted in PUCO filings (2016 deal est. 450-480 MW then, DCF)",Data Center Knowledge 2015-02-27 (Dublin/Hilliard/Orange Twp approvals); JobsOhio/state Jun 2 2015 (Area Development),"Columbus Dispatch via secondary report, Sep 2015 -- weak source",AWS us-east-2 launch Oct 2016 + City of Dublin econ-dev 2016-10-18 (the three central Ohio DCs 'up and running'),No AWS statement. Announcement cited $81M Ohio Tax Credit Authority incentives (15 yr) to Vadata plus municipal packages (Dublin land worth $6.8M; Hilliard $5.4M abatement) -- Area Development 2015-06-02; DCK 2015-02-27,owner_operated,1973,facility_load,2025,"Baxtel AWS US East (Ohio) region page: 52 facilities, 1,973 MW design total — aggregator, not utility record"
Meta,"Fort Worth, TX",TX,32.66,-97.35,2015,2015,2017,operating,3,,yes,2017,"[RESEARCHED: 200 MW = wind PPA (supply), not campus load] opened as Facebook; Announcement coincided with construction start (Jul 2015); CAPACITY: No stated load MW; the 200 MW figure circulating equals the 2015 Texas wind PPA — supply, excluded",Facebook newsroom 2015-07-07 ('The Newest Addition to the Facebook Data Center Fleet'),Meta Fort Worth info sheet; Jul 2015 newsroom post confirms construction underway,Meta Fort Worth info sheet ('became operational in 2017'),"'Fort Worth will be powered by 100% renewable energy, thanks to the 200 MW of new wind energy we helped bring to the Texas grid' -- Facebook newsroom 2015-07-07",owner_operated,,,,
Apple,"Mesa, AZ",AZ,33.39,-111.69,2015,2015,2017,operating,3,,yes,2017,Formal grand opening Aug 15 2018 post-dates operations (2017); legacy hint matches operations; CAPACITY: Range from tracker anchored to public records; lists APS though site is SRP territory — caution; SRP 50 MW Bonnybrooke solar is supply,CNBC / TechCrunch 2015-02-02 (Apple announcement),dgtlinfra (conversion of former GT Advanced plant began Oct 2015),dgtlinfra (opened and serving customers by Mar 2017),"$2B 'global command center' for Apple's data networks, 100% renewable via a new local solar farm; site is the former GT Advanced sapphire plant Apple pledged to repurpose after GTAT's bankruptcy -- CNBC/TechCrunch 2015-02-02; City of Mesa touted 'high capacity power and dark fiber' (mesanow.org)",owner_operated,50-100,facility_load,2024,"interconnection.fyi/GridTracker record 'Apple Data Center, Maricopa County AZ (50-100 MW), Operational'; matched by address 3740 S Signal Butte Rd + Apple land entity Platypus Development LLC"
Meta,"Los Lunas, NM",NM,34.81,-106.73,2016,2016,2019,operating,3,,yes,2018,[RESEARCHED: 240 MW solar + 100 MW battery (NMPRC) = supply; customer demand confidential] opened as Facebook; Legacy hint 2018 not corroborated; operator's own opening post is Feb 2019; CAPACITY: No PNM-stated demand MW (NMPRC 21-00031-UT shows PPAs only: 240 MW solar + 100 MW storage — supply),"GovTech 2016-09-15 (joint announcement with Gov. Martinez, Sep 14 2016)",Meta Los Lunas info sheet (datacenters.atmeta.com),Facebook Engineering blog 2019-02-07 ('Opening our newest data center in Los Lunas'),Solar/wind-powered (>=30 MW committed); 30-year property tax abatement via up to $30B industrial revenue bonds; 'New Mexico's cool temperatures and dry weather will mean the data center will consume very little water' (Facebook); Gov. Martinez credited lower business taxes and incentives -- GovTech 2016-09-15,owner_operated,,,,
Meta,"Newton County, GA",GA,33.55,-83.86,2018,2018,2021,operating,3,,yes,2018,"[RESEARCHED: Walton EMC (co-op, no PSC); Silicon Ranch solar = PPAs] opened as Facebook; Weakest Meta operation year: trade-press-only (no operator online date found); announcement had targeted 2020; CAPACITY: No stated load MW; Walton EMC co-op (no PSC docket); public MW are Silicon Ranch solar PPAs — supply",Monroe Local 2018-03-07 (Georgia Capitol press conference with Gov. Deal),Meta Stanton Springs (Newton) info sheet,DgtlInfra Meta locations list; Baxtel concurs (first building online 2021),"Location 'provides good access to renewable energy, it has a strong pool of talent from engineering to construction, and we found a great set of community partners' (Meta 'Hello, Georgia!' blog); officials cited Atlanta/I-20 proximity and site infrastructure (Monroe Local 2018-03-07)",owner_operated,,,,
Google,"Bridgeport (Jackson County), AL",AL,34.94,-85.71,2015,2018,2018,operating,3,,yes,2018,"Former TVA coal site; Operator page places groundbreaking AND opening in 2018 (implausible; baxtel says 2019) -- operator value recorded per rules, flagged; CAPACITY: TVA discloses no customer MW; Kairos 50 MW SMR + 413 MW Origis solar are PPAs — supply",TechCrunch 2015-06-24 (Google to build at former Widows Creek coal plant),Made in Alabama / Jackson County Sentinel 2018-04-09 (groundbreaking April 2018),datacenters.google Alabama page (2018 'opens' milestone),"'Data centers need a lot of infrastructure to run 24/7, and there's a lot of potential in redeveloping large industrial sites like former coal power plants' -- existing electric infrastructure repurposed + 100% renewable via TVA (Google, per TechCrunch 2015-06-24); Google AL page adds 'solid energy infrastructure, skilled local workforce'",owner_operated,,,,
Meta,"Papillion, NE",NE,41.15,-96.05,2017,2017,2019,operating,3,,yes,2019,[RESEARCHED: 320 MW Rattlesnake Creek = wind PPA (supply)] opened as Facebook; Opened ahead of the 'by 2020' target; CAPACITY: No stated load MW; 320 MW Rattlesnake Creek wind is a PPA — supply,Silicon Prairie News Apr 2017 (Facebook announcement; concurrent Gov. Ricketts/NE DED),Meta Sarpy info sheet (datacenters.atmeta.com),OPPD The Wire 2019-06-18 ('Papillion Facebook data center goes live'; grand opening Jun 13 2019),"Sought 'clean and renewable energy solutions', 'great partnerships within the local community', 'a strong pool of local talent', and 'excellent access to fiber and a robust electric grid' (VP Tom Furlong); 100% wind-powered via 200 MW deal -- Silicon Prairie News Apr 2017",owner_operated,,,,
Meta,"New Albany, OH",OH,40.08,-82.81,2017,2017,2020,operating,3,,yes,2019,"opened as Facebook; Legacy hint 2019 vs reported first-online Feb 2020 (2020 used; no operator online date found); CAPACITY: also: 200 MW behind-the-meter gas (Socrates South, Ohio Power Siting Board approval Jun 2025, expandable to 400 MW); grid-side AEP MW undisclosed",JobsOhio press release 2017-08-15 ('Facebook Chooses Ohio'),Meta New Albany info sheet,CBS/AP 2020-02-09 (online Feb 6 2020),"'The opportunity to power our facility with 100 percent renewable energy', 'a committed set of community partners', and a 'strong pool of talent' (VP Erin Egan) -- JobsOhio 2017-08-15",owner_operated,1000,ultimate_buildout,2026,"Meta 'Prometheus' ~1 GW AI supercluster at New Albany announcement (Zuckerberg Jul 2025); matched by site name, AEP Ohio territory"
Google,"Clarksville, TN",TN,36.53,-87.36,2015,2018,2019,operating,3,,yes,2019,"[RESEARCHED: Tracker 350/600 MW withdrawn as duplicates; no authoritative source] ~2-year announcement-to-groundbreaking gap documented; CAPACITY: No primary-sourced MW; tracker entries (350/600 MW) withdrawn Aug 2026 as duplicates, source never identified",TNECD press release 2015-12-22 (Gov. Haslam announcement; Google same day),Data Center Dynamics 2018-02-16 (official groundbreaking),datacenters.google Tennessee page ('officially opens' 2019),"'This site comes with the benefits of existing infrastructure, which we plan to reuse and recycle' (Joe Kava, Google VP -- former Hemlock Semiconductor polysilicon plant); 100% renewable via TVA arrangement -- TNECD 2015-12-22",owner_operated,,,,
Meta,"Henrico County, VA",VA,37.52,-77.32,2017,2017,2020,operating,3,,yes,2019,"[RESEARCHED: Dominion aggregate Virginia load only, no per-campus figure] opened as Facebook; Legacy hint 2019 vs online Aug 2020 (2020 used; no operator online date found); CAPACITY: No stated load MW; Dominion discloses aggregate VA data-center load only",Henrico County news release Oct 2017 (county + Gov. McAuliffe; Richmond BizSense 2017-10-06),Meta Henrico info sheet,NBC12 2020-08-05 ('Facebook's Data Center in Henrico is now online'),'Providing Facebook with a renewable energy supply was crucial in landing the deal' (Gov. McAuliffe) -- Dominion 'Schedule RF' renewable tariff + $250M solar; Henrico cut its data center equipment tax from $3.50 to $0.40 per $100; Virginia 'a key hub for global internet traffic' -- Virginia Business 2017-10-27,owner_operated,,,,
Meta,"Eagle Mountain, UT",UT,40.31,-112.01,2018,2018,2021,operating,3,,yes,2020,[RESEARCHED: RMP contract confidential; solar figures = PPAs] opened as Facebook; Legacy hint 2020 was the original target; actual first operations Jul 2021; CAPACITY: RMP special contract ('Project Discus') exists but MW not public; solar figures are PPAs,Deseret News 2018-05-30,Meta Eagle Mountain info sheet,Deseret News 2021-07-14 ('first phase... is now operational'),"'Availability of renewable energy', the local labor pool, and community/official receptiveness (Facebook statement); ~$150M state tax incentive package -- Utah Public Radio 2018-06-01",owner_operated,,,,
Google,"Midlothian, TX",TX,32.48,-96.99,2019,,2021,operating,3,,partial,2020,"[RESEARCHED: Oncor/ERCOT keep per-customer confidential] Operation conflict: Wikipedia 2022 (possibly conflating the 2022 us-south1 cloud-region launch), hint 2020; Dgtl Infra 'early 2021' used; construction start unsourced; CAPACITY: Oncor/ERCOT per-customer data not public; tracker power fields paywalled/blank","datacenters.google Texas page (announced Jun 2019, $600M; Dallas Innovates)",,"Dgtl Infra ('By early 2021, Google had opened the first phase')",none stated found (land purchased Midlothian/Red Oak 2018-2019 per Dgtl Infra),owner_operated,,,,
Google,"Henderson, NV",NV,36.04,-115.03,2019,2019,2020,operating,3,,yes,2020,Announcement and groundbreaking were the same Jul 1 2019 event; land acquired 2017-2018 before public statement; CAPACITY: PUCN/NV Energy keep customer load confidential (2026 IRP: ~6 GW aggregate Rule 9 agreements); CTT Docket 24-05023 (Fervo 115 MW) is supply,Las Vegas Sun / 9to5Google 2019-07-01 ($600M announced at groundbreaking event),datacenters.google Henderson page + DCD 2019-07-01 (groundbreaking),baxtel Google Henderson page ('opened in late 2020'),"'A skilled local workforce', 'desirable landscape features', 'enhanced energy infrastructure' -- datacenters.google Henderson page",owner_operated,,,,
Meta,"Huntsville, AL",AL,34.73,-86.59,2018,2018,2021,operating,3,,yes,2020,[RESEARCHED: ~227 MW solar = PPA (supply); TVA keeps demand confidential] opened as Facebook; Announced as Facebook ($750M initially); opening delayed from 2020 partly by COVID; operator info sheet has no online year (DCD used); CAPACITY: TVA/Huntsville Utilities disclose percentages only; ~227 MW solar is PPA — supply,City of Huntsville press release 2018-06-14,Meta Huntsville info sheet,Datacenter Dynamics (opened/serving Sep 2021),"Huntsville's 'quality of life, pro-business environment, and talented and available workforce' (Facebook Director of Site Selection); TVA's 'powerful energy grid'/renewables -- City of Huntsville 2018-06-14",owner_operated,,,,
Microsoft,"Goodyear, AZ",AZ,33.44,-112.36,2019,2020,2021,operating,3,,yes,2021,"Land bought quietly Aug 2018 ($48M, 279 acres); operation conflict: city Jun 2021 vs Blackridge 'fully operational 2024' vs baxtel 2023 -- jurisdiction source in field; CAPACITY: Record basis not stated (likely permit/design facility power); APS contract MW not public",West Valley View 2019-05-02 (first public Microsoft statement); formal announcement Aug 1 2019 (Area Development),"Blackridge Research project profile (Phase I began 2020) -- sole source, trade-research grade",City of Goodyear news 2021-06-15 ('Microsoft Launches Goodyear Datacenter Services'),"'Arizona has been increasingly embracing the technology industry with a pool of growing talent, an affordable quality of life for employees, and as many [as] 200 sunny days a year making it an ideal location for investing in datacenters and solar power' (Brian Janous, Microsoft GM Energy) -- Area Development 2019-08-01",owner_operated,263,facility_load,2023,"datacenter.fyi public record 'Microsoft Goodyear AZ' (operational Apr 24 2023, 263 MW); matched by city + operator"
Meta,"Kuna, ID",ID,43.49,-116.42,2022,2022,2026,operating,4,,yes,2022,[RESEARCHED: 125 MW Pleasant Valley solar = PPA (supply)] No Meta 'online' post found; operation year from third-party tracker -- lower confidence; CAPACITY: Idaho Power-Meta public records are PPAs (e.g. 125 MW Pleasant Valley Solar 2); IPUC special-contract MW not located,Idaho Commerce press release 2022-02-16,Meta Kuna info sheet (Idaho Commerce: groundbreaking Sep 2022),Epoch AI data center directory (Buildings 1-2 operational by Jun 2026; first racks Mar 2026) -- third-party tracker,"'Low risk of natural disasters, a stable climate and a ready workforce' plus 'access to infrastructure and renewable energy, and a great pool of talent' (Meta) -- Idaho Commerce 2022-02-16",owner_operated,,,,
Meta,"Gallatin, TN",TN,36.39,-86.45,2020,2020,2024,operating,4,,yes,2022,"Originally slated online 2023; actual launch Nov 2024; CAPACITY: Local-press figure, not a TVA filing; 110 MW solar PPA (2021) is supply",Tennessee ECD press release 2020-08-12,Meta Gallatin info sheet; TN ECD: construction 'has just begun',Datacenter Dynamics 2024-11-15 ('now serving traffic'),"'We chose Gallatin because of its terrific infrastructure, talented workforce, and the spirit of partnership the community offered' (Rachel Peterson, VP Data Center Strategy) -- TN ECD 2020-08-12",owner_operated,300,facility_load,2025,WPLN Nashville Public Radio (Nov 2025): campus 'using up to 300 megawatts'; matched by campus name/city; corroborated by TVA-arranged ~300 MW solar matching
Meta,"DeKalb, IL",IL,41.93,-88.77,2020,2020,2023,operating,4,,yes,2022,CAPACITY: No MW disclosed by Meta or ComEd (launch coverage gives $ and sqft only),Illinois DCEO press release 2020-06-30,Meta DeKalb info sheet + Meta blog,Meta blog 2023-11-29 ('DeKalb Data Center is now serving traffic'),"Chose DeKalb because 'it offered excellent infrastructure, access to renewable energy, a strong pool of talent for both construction and operations staff, and great community partners' -- Meta blog 2023-11-29",owner_operated,,,,
